,ts,rainfall,rainfall,wind
266,2019-07-27 18:23:08.042,0,0,663
267,2019-07-27 18:33:08.108,0,0,503
268,2019-07-27 18:43:07.907,0,0,508
269,2019-07-27 18:53:08.009,0,0,368
270,2019-07-27 19:03:08.390,0,0,552
271,2019-07-27 19:13:08.507,0,0,563
272,2019-07-27 19:23:08.629,0,0,604
273,2019-07-27 19:33:08.702,0,0,320
274,2019-07-27 19:43:08.790,0,0,384
275,2019-07-27 19:53:08.653,0,0,296
276,2019-07-27 20:03:08.767,0,0,93
277,2019-07-27 20:13:09.058,0,0,131
278,2019-07-27 20:23:08.964,0,0,170
279,2019-07-27 20:33:08.731,0,0,123
280,2019-07-27 20:43:09.025,0,0,35
281,2019-07-27 20:53:08.904,0,0,22
282,2019-07-27 21:03:09.551,0,0,0
283,2019-07-27 21:13:09.718,0,0,360
284,2019-07-27 21:23:09.524,0,0,168
285,2019-07-27 21:33:09.696,0,0,130
286,2019-07-27 21:43:09.751,0,0,43
287,2019-07-27 21:53:09.841,0,0,140
288,2019-07-27 22:03:09.961,0,0,130
289,2019-07-27 22:13:10.060,0,0,48
290,2019-07-27 22:23:10.353,0,0,236
291,2019-07-27 22:33:10.467,0,0,149
292,2019-07-27 22:43:10.322,0,0,12
293,2019-07-27 22:53:10.154,0,0,4
294,2019-07-27 23:03:10.507,0,0,14
295,2019-07-27 23:13:10.556,0,0,22
296,2019-07-27 23:23:10.399,0,0,18
297,2019-07-27 23:33:10.716,0,0,22
298,2019-07-27 23:43:11.050,0,0,34
299,2019-07-27 23:53:10.905,0,0,48
300,2019-07-28 00:03:11.013,0,0,46
301,2019-07-28 00:13:11.621,0,0,255
302,2019-07-28 00:23:11.231,0,0,116
303,2019-07-28 00:33:11.434,0,0,175
304,2019-07-28 00:43:11.644,0,0,21
305,2019-07-28 00:53:11.265,0,0,53
306,2019-07-28 01:03:11.372,0,0,37
307,2019-07-28 01:13:11.553,0,0,111
308,2019-07-28 01:23:11.989,0,0,304
309,2019-07-28 01:33:12.128,0,0,300
310,2019-07-28 01:43:12.025,0,0,326
311,2019-07-28 01:53:12.595,0,0,455
312,2019-07-28 02:03:12.166,0,0,314
